,Gender,Label,Name_written,Name_spoken,segments,syllables,SCR,OCR,SCE,OCE,FVR,CVR,BVR,VE
14624,Female,1,hannah,h æ n ə,4,2,0.25,0.25,0,0,0.25,0.25,0.0,1
14625,Female,1,elizabeth,ɪ l ɪ z ə b ə ɵ,8,4,0.125,0.375,0,1,0.25,0.25,0.0,0
14626,Female,1,abigail,æ b ə g eɪ l,6,3,0.16666666666666666,0.3333333333333333,1,0,0.16666666666666666,0.16666666666666666,0.0,0
14627,Female,1,alexandra,æ l e g z æ n d r ə,10,4,0.3,0.3,0,0,0.3,0.1,0.0,1
14628,Female,1,kimberly,k ɪ m b ɜ l i,7,3,0.2857142857142857,0.2857142857142857,0,0,0.42857142857142855,0.0,0.0,1
14629,Female,1,marina,m ɜ i n ə,5,3,0.4,0.0,0,0,0.4,0.2,0.0,1
14630,Female,1,diamond,d aɪ m ə n d,6,2,0.3333333333333333,0.3333333333333333,0,1,0.0,0.16666666666666666,0.0,0
14631,Female,1,paige,p eɪ ʤ,3,2,0.0,0.6666666666666666,0,1,0.0,0.0,0.0,0
14632,Female,1,anna,æ n ə,3,2,0.3333333333333333,0.0,0,0,0.3333333333333333,0.3333333333333333,0.0,1
14633,Female,1,carolyn,k e r ə l ɪ n,7,3,0.42857142857142855,0.14285714285714285,1,0,0.2857142857142857,0.14285714285714285,0.0,0
14634,Female,1,tiffany,t ɪ f ə n i,6,3,0.16666666666666666,0.3333333333333333,0,0,0.3333333333333333,0.16666666666666666,0.0,1
14635,Female,1,justice,ʤ ə s t ə s,6,3,0.0,0.6666666666666666,0,1,0.0,0.3333333333333333,0.0,0
14636,Female,1,cassidy,k æ s ɪ d i,6,3,0.0,0.5,0,0,0.5,0.0,0.0,1
14637,Female,1,jessica,ʤ e s ɪ k ə,6,3,0.0,0.5,0,0,0.3333333333333333,0.16666666666666666,0.0,1
14638,Female,1,leah,l i ə,3,1,0.3333333333333333,0.0,0,0,0.3333333333333333,0.3333333333333333,0.0,1
14639,Female,1,diamond,d aɪ m ə n d,6,2,0.3333333333333333,0.3333333333333333,0,1,0.0,0.16666666666666666,0.0,0
14640,Female,1,alexandria,æ l ə g z æ n d r i ə,11,4,0.2727272727272727,0.2727272727272727,0,0,0.2727272727272727,0.18181818181818182,0.0,1
14641,Female,1,rebecca,r ə b e k ə,6,3,0.16666666666666666,0.3333333333333333,0,0,0.16666666666666666,0.3333333333333333,0.0,1
14642,Female,1,melissa,m ə l ɪ s ə,6,3,0.3333333333333333,0.16666666666666666,0,0,0.16666666666666666,0.3333333333333333,0.0,1
14643,Female,1,sophia,s o f i ə,5,2,0.0,0.4,0,0,0.2,0.2,0.2,1
14644,Female,1,aileen,aɪ l i n,4,2,0.5,0.0,1,0,0.25,0.0,0.0,0
14645,Female,1,julia,ʤ u l j ə,5,2,0.4,0.2,0,0,0.0,0.2,0.2,1
14646,Female,1,jessica,ʤ e s ɪ k ə,6,3,0.0,0.5,0,0,0.3333333333333333,0.16666666666666666,0.0,1
14647,Female,1,shelby,ʃ e l b i,5,2,0.2,0.4,0,0,0.4,0.0,0.0,1
14648,Female,1,riley,r aɪ l i,4,2,0.5,0.0,0,0,0.25,0.0,0.0,1
14649,Female,1,clara,k l æ r ə,5,2,0.4,0.2,0,0,0.2,0.2,0.0,1
14650,Female,1,ariel,e r i ə l,5,2,0.4,0.0,1,0,0.4,0.2,0.0,0
14651,Female,1,gabriella,g ɒ b r i e l ɒ,8,3,0.25,0.25,0,0,0.25,0.0,0.25,1
14652,Female,1,juliet,ʤ u l i e t,6,2,0.16666666666666666,0.3333333333333333,0,1,0.3333333333333333,0.0,0.16666666666666666,0
14653,Female,1,karina,k ɒ r i n ə,6,3,0.3333333333333333,0.16666666666666666,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,1
14654,Female,1,lydia,l ɪ d i ə,5,2,0.2,0.2,0,0,0.4,0.2,0.0,1
14655,Female,1,brianna,b r i æ n ə,6,2,0.3333333333333333,0.16666666666666666,0,0,0.3333333333333333,0.16666666666666666,0.0,1
14656,Female,1,samantha,s ə m æ n ɵ ə,7,3,0.2857142857142857,0.2857142857142857,0,0,0.14285714285714285,0.2857142857142857,0.0,1
14657,Female,1,miriam,m ɪ r i ə m,6,2,0.5,0.0,1,0,0.3333333333333333,0.16666666666666666,0.0,0
14658,Female,1,jasmine,ʤ æ z m ə n,6,3,0.3333333333333333,0.3333333333333333,1,0,0.16666666666666666,0.16666666666666666,0.0,0
14659,Female,1,kelsey,k e l s i,5,2,0.2,0.4,0,0,0.4,0.0,0.0,1
14660,Female,1,rebecca,r ə b e k ə,6,3,0.16666666666666666,0.3333333333333333,0,0,0.16666666666666666,0.3333333333333333,0.0,1
14661,Female,1,alissa,ə l ɪ s ə,5,3,0.2,0.2,0,0,0.2,0.4,0.0,1
14662,Female,1,kai,k aɪ,2,1,0.0,0.5,0,0,0.0,0.0,0.0,0
14663,Female,1,jocelyn,ʤ ɔ s l ɪ n,6,3,0.3333333333333333,0.3333333333333333,1,0,0.16666666666666666,0.0,0.16666666666666666,0
14664,Female,1,arianna,ɒ r i æ n ə,6,3,0.3333333333333333,0.0,0,0,0.3333333333333333,0.16666666666666666,0.16666666666666666,1
14665,Female,1,alyssa,ə l ɪ s ə,5,3,0.2,0.2,0,0,0.2,0.4,0.0,1
14666,Female,1,madison,m æ d ə s ə n,7,3,0.2857142857142857,0.2857142857142857,1,0,0.14285714285714285,0.2857142857142857,0.0,0
14667,Female,1,harmony,h ɒ r m ə n i,7,3,0.42857142857142855,0.14285714285714285,0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,1
14668,Female,1,jasmine,ʤ æ z m ə n,6,3,0.3333333333333333,0.3333333333333333,1,0,0.16666666666666666,0.16666666666666666,0.0,0
14669,Female,1,angie,æ n ʤ i,4,2,0.25,0.25,0,0,0.5,0.0,0.0,1
14670,Female,1,brittany,b r ɪ t ə n i,7,3,0.2857142857142857,0.2857142857142857,0,0,0.2857142857142857,0.14285714285714285,0.0,1
14671,Female,1,helena,h e l ə n ə,6,3,0.3333333333333333,0.16666666666666666,0,0,0.16666666666666666,0.3333333333333333,0.0,1
14672,Female,1,caroline,k e r ə l aɪ n,7,4,0.42857142857142855,0.14285714285714285,1,0,0.14285714285714285,0.14285714285714285,0.0,0
14673,Female,1,ashley,æ ʃ l i,4,2,0.25,0.25,0,0,0.5,0.0,0.0,1
14674,Female,1,kara,k e r ə,4,2,0.25,0.25,0,0,0.25,0.25,0.0,1
14675,Female,1,megan,m eɪ g ə n,5,2,0.4,0.2,1,0,0.0,0.2,0.0,0
14676,Female,1,penelope,p ə n e l ə p i,8,4,0.25,0.25,0,0,0.25,0.25,0.0,1
14677,Female,1,lauren,l ɔ r ə n,5,2,0.6,0.0,1,0,0.0,0.2,0.2,0
14678,Female,1,madison,m æ d ə s ə n,7,3,0.2857142857142857,0.2857142857142857,1,0,0.14285714285714285,0.2857142857142857,0.0,0
14679,Female,1,kyra,k aɪ r ə,4,2,0.25,0.25,0,0,0.0,0.25,0.0,1
14680,Female,1,anna,æ n ə,3,2,0.3333333333333333,0.0,0,0,0.3333333333333333,0.3333333333333333,0.0,1
14681,Female,1,eileen,aɪ l i n,4,2,0.5,0.0,1,0,0.25,0.0,0.0,0
14682,Female,1,jessica,ʤ e s ɪ k ə,6,3,0.0,0.5,0,0,0.3333333333333333,0.16666666666666666,0.0,1
14683,Female,1,sierra,s i e r ə,5,2,0.2,0.2,0,0,0.4,0.2,0.0,1
14684,Female,1,stefanie,s t e f ə n i,7,3,0.14285714285714285,0.42857142857142855,0,0,0.2857142857142857,0.14285714285714285,0.0,1
14685,Female,1,paige,p eɪ ʤ,3,2,0.0,0.6666666666666666,0,1,0.0,0.0,0.0,0
14686,Female,1,logan,l o g ə n,5,2,0.4,0.2,1,0,0.0,0.2,0.2,0
14687,Female,1,amanda,ə m æ n d ə,6,3,0.3333333333333333,0.16666666666666666,0,0,0.16666666666666666,0.3333333333333333,0.0,1
14688,Female,1,gabrielle,g æ b r i e l,7,3,0.2857142857142857,0.2857142857142857,1,0,0.42857142857142855,0.0,0.0,0
14689,Female,1,victoria,v ɪ k t ɔ r i ə,8,3,0.125,0.375,0,0,0.25,0.125,0.125,1
14690,Female,1,stephany,s t e f ə n i,7,3,0.14285714285714285,0.42857142857142855,0,0,0.2857142857142857,0.14285714285714285,0.0,1
14691,Female,1,paige,p eɪ ʤ,3,2,0.0,0.6666666666666666,0,1,0.0,0.0,0.0,0
14692,Female,1,diana,d aɪ æ n ə,5,2,0.2,0.2,0,0,0.2,0.2,0.0,1
14693,Female,1,desiree,d e s aɪ r i,6,3,0.16666666666666666,0.3333333333333333,0,0,0.3333333333333333,0.0,0.0,1
14694,Female,1,chloe,k l o i,4,1,0.25,0.25,0,0,0.25,0.0,0.25,1
14695,Female,1,kristen,k r ɪ s t ə n,7,2,0.2857142857142857,0.42857142857142855,1,0,0.14285714285714285,0.14285714285714285,0.0,0
14696,Female,1,bethany,b e ɵ ə n i,6,3,0.16666666666666666,0.3333333333333333,0,0,0.3333333333333333,0.16666666666666666,0.0,1
14697,Female,1,julia,ʤ u l j ə,5,2,0.4,0.2,0,0,0.0,0.2,0.2,1
14698,Female,1,jacqueline,ʤ æ k w ə l ɪ n,8,4,0.375,0.25,1,0,0.25,0.125,0.0,0
14699,Female,1,shelby,ʃ e l b i,5,2,0.2,0.4,0,0,0.4,0.0,0.0,1
14700,Female,1,emily,e m ɪ l i,5,3,0.4,0.0,0,0,0.6,0.0,0.0,1
14701,Female,1,simone,s ɪ m o n,5,3,0.4,0.2,1,0,0.2,0.0,0.2,0
14702,Female,1,nicole,n ɪ k o l,5,3,0.4,0.2,1,0,0.2,0.0,0.2,0
14703,Female,1,jordan,ʤ ɔ r d ə n,6,2,0.3333333333333333,0.3333333333333333,1,0,0.0,0.16666666666666666,0.16666666666666666,0
14704,Female,1,linda,l ɪ n d ə,5,2,0.4,0.2,0,0,0.2,0.2,0.0,1
14705,Female,1,shannon,ʃ æ n ə n,5,2,0.4,0.2,1,0,0.2,0.2,0.0,0
14706,Female,1,vienna,v i e n ə,5,2,0.2,0.2,0,0,0.4,0.2,0.0,1
14707,Female,1,megan,m eɪ g ə n,5,2,0.4,0.2,1,0,0.0,0.2,0.0,0
14708,Female,1,brianna,b r i æ n ə,6,2,0.3333333333333333,0.16666666666666666,0,0,0.3333333333333333,0.16666666666666666,0.0,1
14709,Female,1,michelle,m ɪ ʃ e l,5,3,0.4,0.2,1,0,0.4,0.0,0.0,0
14710,Female,1,michael,m aɪ k ə l,5,2,0.4,0.2,1,0,0.0,0.2,0.0,0
14711,Female,1,esther,e s t ɜ,4,2,0.0,0.5,0,0,0.5,0.0,0.0,1
14712,Female,1,bridgette,b r ɪ ʤ ɪ t,6,3,0.16666666666666666,0.5,0,1,0.3333333333333333,0.0,0.0,0
14713,Female,1,gabrielle,g æ b r i e l,7,3,0.2857142857142857,0.2857142857142857,1,0,0.42857142857142855,0.0,0.0,0
